query,broad_category,color,details,fit_type,hem_shaped,length,material,neckline,occasion,pattern_type,sleeve_length,sleeve_type,type,waist_line
emerald green sling bag,bag,emerald green,-,-,-,-,-,-,-,-,-,-,-,-
fuschia pink oversized blazer,outerwear,pink,-,oversized,-,-,-,-,-,-,-,-,-,-
blue oxford shirt,tops,blue,-,-,-,-,-,-,-,-,-,-,shirt,-
midi length printed slit skirt,bottoms,-,-,-,slit,midi,-,-,-,printed,-,-,skirt,-
regular fit white t shirt,tops,white,-,regular,-,-,-,-,-,-,-,-,tee,-
solid white boxy fit t shirt,tops,white,-,loose,-,-,-,-,-,plain,-,-,tee,-
tapering end mom fit high rise blue jeans,bottoms,blue,-,slim,-,-,-,-,-,-,-,-,jeans,high
wide leg white trousers,bottoms,white,-,-,-,-,-,-,-,-,-,-,trousers,-
black hand bag,bag,black,-,-,-,-,-,-,-,-,-,-,-,-
white sneakers,footwear,white,-,-,-,-,-,-,-,-,-,-,-,-
regular fit black halter neck top,tops,black,-,regular,-,-,-,halter,-,-,-,-,top,-
white high rise jeans,bottoms,white,-,-,-,-,-,-,-,-,-,-,jeans,high
black sling bag,bag,black,-,-,-,-,-,-,-,-,-,-,-,-
black high top sneakers,footwear,black,-,-,-,-,-,high,-,-,-,-,top,-
white casual shirt ,tops,white,-,-,-,-,-,-,casual,-,-,-,shirt,-
blue boyfriend fit high rise jeans,bottoms,blue,-,slim,-,-,-,-,-,-,-,-,jeans,high
brown round neck pullover,outerwear,brown,-,-,-,-,-,round,-,-,-,-,pullovers,-
womens black loafers,footwear,black,-,-,-,-,-,-,-,-,-,-,-,-
white rib knit halter neck crop top,tops,white,rib knit,-,-,crop,-,halter,-,-,-,-,top,-
slim fit ankle length jeans,bottoms,-,-,slim,-,maxi,-,-,-,-,-,-,jeans,-
womens pink shirt,outerwear,pink,-,-,-,-,-,-,-,-,-,-,shirt,-
womens white running shoes,footwear,white,-,-,-,-,-,-,-,-,-,-,-,-
ribbed square neck tank top,tops,-,ribbed,-,-,-,-,square,-,-,-,-,tank,-
black pu leather shorts,bottoms,black,-,-,-,-,pu leather,-,-,-,-,-,shorts,-
green poplin shirt,outerwear,green,-,-,-,-,poplin,-,-,-,-,-,shirt,-
black baseball cap,accessories,black,-,-,-,-,-,baseball collar,-,-,cap,-,-,-
black handbag with handle,bag,black,-,-,-,-,-,-,-,-,-,-,-,-
white quotes t-shirt,tops,white,-,-,-,-,-,-,-,-,-,-,tee,-
boyfriend fit tapered jeans,bottoms,-,-,-,-,-,-,-,-,-,-,-,-,-
brown womens pullover,outerwear,brown,-,-,-,-,-,-,-,-,-,-,pullovers,-
black ad white bucket bag,bag,white,-,-,-,-,-,-,-,-,-,-,-,-
womens white high top sneakers,footwear,white,-,-,-,-,-,high,-,-,-,-,top,-
black long sleeve top,tops,black,-,-,-,-,-,-,-,-,long,-,top,-
pleated beige wide trousers,bottoms,beige,pleated,-,-,-,-,-,-,-,-,wide,trousers,-
black womens blazer,outerwear,black,-,-,-,-,-,-,-,-,-,-,-,-
black shoulder bag with quilted detail,bag,black,quilted,-,-,-,-,-,-,-,-,-,-,-
white womens sneakers,footwear,white,-,-,-,-,-,-,-,-,-,-,-,-
womens green strappy heels,footwear,green,-,-,-,-,-,straps,-,-,-,-,-,-
blue solid high neck pullover,tops,blue,-,-,-,-,-,high,-,plain,-,-,pullovers,-
yellow solid casual bottoms,bottoms,yellow,-,-,-,-,-,-,casual,plain,-,-,bottom,-
red double breasted blazer,outerwear,red,double breasted,-,-,-,-,-,-,-,-,-,-,-
maroon shoulder bag,bag,maroon,-,-,-,-,-,-,-,-,-,-,-,-
mid calf length silver boots with heels,footwear,silver,-,-,-,midi,-,-,-,-,-,-,-,-
white casual cotton shirt,tops,white,-,-,-,-,cotton,-,casual,-,-,-,shirt,-
white flared trousers,bottoms,white,-,-,-,-,-,-,-,-,-,flared,trousers,-
blazer with buttons,outerwear,-,button,-,-,-,-,-,-,-,-,-,-,-
